Filename,Year,Age,Country Code,Country Name,World Region,Size,Mean Color,Variance,AgeClass
2021_6-9_1560_UKA_R_C.jpg,2021,6-9,UKA,Unknown,Unknown,"(962, 1322)",[130.46793666 137.43019617 143.78105608],[2225.30007734 2477.47290082 2650.66472643],2
2021_6-9_1628_BUL_R_C.jpg,2021,6-9,BUL,Unknown,Unknown,"(1468, 1061)",[83.26206897 92.21227981 88.22734388],[2090.38009126 1697.52492421 2109.02460455],2
2021_6-9_1496_USA_R_C.jpg,2021,6-9,USA,United States,North America,"(841, 1273)",[133.25078438 119.33100067 137.76286226],[6218.86191804 3767.18450549 2945.74418659],2
2021_6-9_1513_CHI_R_C.jpg,2021,6-9,CHI,Unknown,Unknown,"(890, 1238)",[166.91722695 171.02002414 178.84772649],[5081.13909351 4633.01501807 5082.62340298],2
2021_6-9_1556_MD_R_C.jpg,2021,6-9,MD,Unknown,Unknown,"(1097, 1443)",[126.66430465 114.32602492 134.05314753],[6625.83178648 6726.20636539 6054.02705271],2
2021_6-9_1517_TUR_R_C.jpg,2021,6-9,TUR,Turkey,W. Asia,"(888, 1233)",[ 86.92827499  93.9946525  124.52121099],[2862.81265143 2451.18264769 2772.64843621],2
2021_6-9_1369_IRA_R_C.jpg,2021,6-9,IRA,Unknown,Unknown,"(898, 1230)",[117.14129411 108.13588372  93.91522806],[5094.36630083 3440.21152367 2736.249     ],2
2021_6-9_1363_IRA_R_C.jpg,2021,6-9,IRA,Unknown,Unknown,"(1021, 747)",[114.33203922 115.05924318 103.76546735],[3189.94400812 2065.49722121 2904.3455952 ],2
2021_6-9_1421_TUR_R_C.jpg,2021,6-9,TUR,Turkey,W. Asia,"(632, 882)",[165.86377156 140.72965642 118.17797045],[4056.38392    4108.67136382 3892.57678077],2
2021_6-9_1529_ROU_R_C.jpg,2021,6-9,ROU,Romania,Eastern Europe,"(894, 1240)",[111.44439453 116.78921123 100.93931226],[2406.32152014 2217.84068031 2399.47016956],2
